date,code,qfq_open,qfq_high,qfq_low,qfq_close,qfq_avg,f1mv_open,f1mv_high,f1mv_low,f1mv_close,f1mv_qfq_open,f1mv_qfq_high,f1mv_qfq_low,f1mv_qfq_close,f1mv_qfq_avg,f20max_f1mv_high,f20min_f1mv_low,f5max_f1mv_high,f5min_f1mv_low,curr_type,delist_date,enname,fullname,list_date,list_status,name,symbol
2018-07-13,000001.SZ,8.92,8.94,8.82,8.88,8.87339261058168,956.07435,961.4759000000001,938.78939,943.1106300000001,8.85,8.9,8.69,8.73,8.747286791342491,1036.01729,930.1469099999999,993.8851999999999,930.1469099999999,CNY,,"Ping An Bank Co., Ltd.",平安银行股份有限公司,19910403,L,平安银行,000001
2018-07-13,000002.SZ,23.32795020607284,23.433811366248918,22.750525696021533,22.827515630695043,23.046961921947425,3238.907,3248.5180000000005,3131.813,3178.495,22.70240698685059,22.769773179689913,21.95175512378389,22.278962346146297,22.22733545650568,3444.8570000000004,2817.396,3248.5180000000005,3023.346,CNY,,"China Vanke Co.,Ltd.",万科企业股份有限公司,19910129,L,万科A,000002
2018-07-13,000006.SZ,5.58,5.64,5.51,5.52,5.5605090934789345,188.243,189.9543,185.50492,188.58525999999998,5.5,5.55,5.42,5.51,5.48474734029541,214.59702,182.42458,189.9543,182.42458,CNY,,"Shenzhen Zhenye(Group) Co.,Ltd.",深圳市振业(集团)股份有限公司,19920427,L,深振业A,000006
2018-07-13,000008.SZ,,,,,,,,,,,,,,,,,,,CNY,,"China High Speed Railway Technology Co., Ltd.",神州高铁技术股份有限公司,19920507,L,神州高铁,000008
2018-07-13,000009.SZ,4.890664041281912,4.920545898967953,4.860782183595872,4.910585279739272,4.894114587551611,36.16155,37.1151,35.6481,36.748349999999995,4.910585279739272,5.040073329712113,4.840860945138512,4.990270233568712,4.947211165951452,38.875499999999995,33.72712,38.875499999999995,35.6481,CNY,,"China Baoan Group Co.,Ltd.",中国宝安集团股份有限公司,19910625,L,中国宝安,000009
2018-07-13,000011.SZ,10.29,10.48,10.24,10.28,10.344408582598419,35.96554,36.31574,35.40521999999999,35.79044,10.27,10.370000000000001,10.11,10.219999999999999,10.217545340143609,44.72053999999999,34.35462,36.31574,34.35462,CNY,,Shenzhen Properties & Resources Development (Group) Ltd.,深圳市物业发展(集团)股份有限公司,19920330,L,深物业A,000011
2018-07-13,000012.SZ,4.9,4.95,4.86,4.89,4.899315263615541,116.81064,116.81064,114.91128,116.57322,4.92,4.92,4.84,4.91,4.880576579804352,126.30744000000001,113.24933999999999,116.81064,113.24933999999999,CNY,,"CSG Holding Co.,Ltd.",中国南玻集团股份有限公司,19920228,L,南玻A,000012
2018-07-13,000016.SZ,5.15,5.17,4.93,4.99,4.975058457804207,106.50522000000001,107.14043999999998,105.02304,105.23477999999999,5.03,5.06,4.96,4.97,4.994867978026773,107.14043999999998,89.35427999999999,107.14043999999998,98.03562,CNY,,"Konka Group Co.,Ltd",康佳集团股份有限公司,19920327,L,深康佳A,000016
2018-07-13,000021.SZ,6.88,6.890000000000001,6.77,6.82,6.808068478902323,94.20953999999999,97.11467999999999,93.79452,95.59294,6.81,7.02,6.78,6.91,6.89491761622717,100.01982000000001,85.49412,99.32812,92.96448,CNY,,"Shenzhen Kaifa Technology Co., Ltd.",深圳长城开发科技股份有限公司,19940202,L,深科技,000021
2018-07-13,000025.SZ,31.75,32.64,31.6,31.94,32.0940224058,59.1262,60.89622000000001,59.1262,60.274829999999994,31.4,32.34,31.4,32.01,31.911313940889926,63.89019,54.24923,60.89622000000001,58.97556,CNY,,"Shenzhen Tellus Holding Co.,Ltd",深圳市特力(集团)股份有限公司,19930621,L,特力A,000025
2018-07-13,000027.SZ,4.920000000000001,4.93,4.85,4.889999999999999,4.876632994415143,65.50912,65.50912,64.97216,64.97216,4.88,4.88,4.840000000000001,4.840000000000001,4.850126634174891,69.8048,64.03247999999999,66.85152000000001,64.03247999999999,CNY,,"Shenzhen Energy Group Co., Ltd.",深圳能源集团股份有限公司,19930903,L,深圳能源,000027
2018-07-13,000028.SZ,48.08,48.86,47.62,48.68,48.34306871938183,189.344,191.02272,186.416,187.392,48.5,48.93,47.75,48.0,48.050832170505906,191.02272,154.71552,191.02272,175.71903999999998,CNY,,China National Accord Medicines Corporation Ltd.,国药集团一致药业股份有限公司,19930809,L,国药一致,000028
2018-07-13,000030.SZ,5.040347610180013,5.207200496585973,5.0194909993792685,5.123774053382992,5.098221378677892,16.576000000000004,16.8,16.3072,16.620800000000003,5.1446306641837385,5.21415270018622,5.061204220980758,5.158535071384234,5.113619963955562,17.203200000000002,14.6601,16.912000000000003,16.3072,CNY,,FAWER Automotive Parts Limited Company,富奥汽车零部件股份有限公司,19930929,L,富奥股份,000030
2018-07-13,000031.SZ,5.889999999999999,5.95,5.83,5.84,5.871432024115098,82.47766999999999,82.47766999999999,80.79731,81.35743,5.889999999999999,5.889999999999999,5.77,5.81,5.814586088897708,87.93884,78.55683,82.47766999999999,79.25698,CNY,,"COFCO Property (Group) Co.,Ltd.",中粮地产(集团)股份有限公司,19931008,L,中粮地产,000031
2018-07-16,000001.SZ,8.85,8.9,8.69,8.73,8.747286791342491,944.1909400000001,945.27125,935.5484600000001,942.0303200000001,8.74,8.75,8.66,8.72,8.695657110671345,1036.01729,930.1469099999999,1020.8929499999999,930.1469099999999,CNY,,"Ping An Bank Co., Ltd.",平安银行股份有限公司,19910403,L,平安银行,000001
2018-07-16,000002.SZ,22.70240698685059,22.769773179689913,21.95175512378389,22.278962346146297,22.22733545650568,3164.7650000000003,3196.3440000000005,3109.8450000000003,3155.1540000000005,22.182724927804415,22.40407098999075,21.797775254436875,22.115358734965096,22.03429503586934,3444.8570000000004,2817.396,3281.4700000000003,3023.346,CNY,,"China Vanke Co.,Ltd.",万科企业股份有限公司,19910129,L,万科A,000002
2018-07-16,000006.SZ,5.5,5.55,5.42,5.51,5.48474734029541,187.21622,188.58525999999998,186.18944000000002,188.243,5.47,5.51,5.44,5.5,5.473350986812808,214.59702,182.42458,192.35012,182.42458,CNY,,"Shenzhen Zhenye(Group) Co.,Ltd.",深圳市振业(集团)股份有限公司,19920427,L,深振业A,000006
2018-07-16,000008.SZ,,,,,,,,,,,,,,,,,,,CNY,,"China High Speed Railway Technology Co., Ltd.",神州高铁技术股份有限公司,19920507,L,神州高铁,000008
2018-07-16,000009.SZ,4.910585279739272,5.040073329712113,4.840860945138512,4.990270233568712,4.947211165951452,36.675,38.875499999999995,35.941500000000005,38.142,4.980309614340032,5.279128191200434,4.880703422053233,5.179521998913635,5.0858108220236335,38.875499999999995,33.72712,38.875499999999995,35.941500000000005,CNY,,"China Baoan Group Co.,Ltd.",中国宝安集团股份有限公司,19910625,L,中国宝安,000009
