date,code,layer2_l2_y_l_r_pred,layer2_l2_y_l_r_tree0_leaf,layer2_l2_y_l_r_tree1_leaf,layer2_l2_y_l_r_tree2_leaf,layer2_l2_y_l_r_tree3_leaf,layer2_l2_y_l_r_tree4_leaf,layer2_l2_y_l_r_tree5_leaf,layer2_l2_y_l_r_tree6_leaf,layer2_l2_y_l_r_tree7_leaf,layer2_l2_y_l_r_tree8_leaf,layer2_l2_y_l_r_tree9_leaf,layer2_l2_y_l_r_tree10_leaf,layer2_l2_y_l_r_tree11_leaf,layer2_l2_y_l_r_tree12_leaf,layer2_l2_y_l_r_tree13_leaf,layer2_l2_y_l_r_tree14_leaf,layer2_l2_y_l_r_tree15_leaf,layer2_l2_y_l_r_tree16_leaf,layer2_l2_y_l_r_tree17_leaf,layer2_l2_y_l_r_tree18_leaf,layer2_l2_y_l_r_tree19_leaf,layer2_l2_y_l_r_tree20_leaf,layer2_l2_y_l_r_tree21_leaf,layer2_l2_y_l_r_tree22_leaf,layer2_l2_y_l_r_tree23_leaf,layer2_l2_y_l_r_tree24_leaf,layer2_l2_y_l_r_tree25_leaf,layer2_l2_y_l_r_tree26_leaf,layer2_l2_y_l_r_tree27_leaf,layer2_l2_y_l_r_tree28_leaf,layer2_l2_y_l_r_tree29_leaf
20190220,000001.SZ,0.019818594510956068,29,4,12,4,4,8,26,27,4,4,23,7,30,20,12,20,15,26,20,4,29,4,22,12,1,8,5,29,14,12
20190220,000002.SZ,-0.019592192049025795,7,30,28,17,20,8,9,29,9,24,10,15,23,17,30,15,25,9,4,25,12,8,7,12,19,22,17,30,19,4
20190220,000006.SZ,0.01647943947082983,4,25,4,23,4,18,26,27,4,4,20,8,4,20,12,15,15,29,20,7,24,6,5,12,1,2,20,30,14,11
20190220,000008.SZ,0.012210822457594889,4,25,4,23,4,18,26,27,4,4,20,8,4,20,12,15,15,29,20,7,24,6,22,12,1,22,28,30,14,11
20190220,000009.SZ,0.04184356616026886,9,19,9,8,13,9,16,21,8,6,23,29,30,14,30,20,15,9,17,27,12,8,22,4,9,2,5,30,14,4
20190220,000011.SZ,0.050550051429016404,9,19,9,8,13,18,16,28,30,16,23,29,5,20,12,24,15,8,20,7,28,6,5,5,1,2,5,29,14,12
20190220,000012.SZ,0.03246150464827174,29,25,4,23,13,18,26,28,4,4,23,16,30,20,12,20,15,26,20,4,29,6,5,5,9,8,5,29,14,12
20190220,000016.SZ,0.03851851268801305,29,25,4,8,13,18,26,28,30,4,23,16,5,20,12,24,15,8,20,7,28,6,22,5,1,2,5,29,14,12
20190220,000021.SZ,0.05630773596771954,9,19,9,8,21,9,16,14,8,6,13,29,30,14,12,20,15,26,17,25,29,6,22,5,1,2,5,29,1,12
20190220,000025.SZ,0.02004688604873416,29,25,4,23,4,18,26,27,4,4,23,7,30,20,12,20,15,29,20,27,24,4,5,5,9,2,5,30,14,12
20190220,000027.SZ,0.030204509040639753,29,25,4,23,13,18,26,28,4,4,23,7,30,13,12,20,15,26,20,4,29,4,22,12,1,8,1,29,1,12
20190220,000028.SZ,0.014266069926268388,12,4,12,4,4,8,26,27,4,4,23,7,21,20,12,4,15,26,20,4,29,4,5,12,1,8,5,29,14,12
20190220,000029.SZ,-0.00014172570168948344,12,16,12,4,4,8,9,27,9,4,19,7,23,4,7,4,25,4,4,4,13,8,7,12,9,8,5,14,1,4
20190220,000030.SZ,0.04130506427569401,29,19,4,8,13,18,16,28,30,16,23,16,5,13,12,24,15,8,20,7,28,6,5,4,1,7,5,29,1,12
20190220,000031.SZ,0.015671062624428675,12,4,12,4,4,8,26,27,9,4,23,7,30,20,12,20,25,29,20,7,29,4,22,12,1,2,1,30,14,11
20190220,000034.SZ,-0.017479434768869144,7,4,28,4,4,30,26,27,16,4,8,13,4,20,30,8,17,2,5,25,7,8,11,0,9,22,20,9,14,22
20190220,000035.SZ,0.0324125162439763,29,19,4,8,13,18,16,21,4,6,23,16,30,20,7,20,15,29,20,25,29,8,5,5,9,2,5,30,14,4
20190220,000036.SZ,0.022865993838654387,4,25,4,23,18,18,26,21,4,4,8,15,4,20,15,25,15,9,20,27,4,6,5,5,1,5,28,28,14,11
20190220,000039.SZ,0.036205005828438525,29,19,9,8,13,18,16,28,4,6,23,16,30,13,7,20,15,26,4,4,29,8,7,4,9,8,3,29,1,4
20190220,000040.SZ,-0.0023119052755880736,4,4,4,4,4,14,26,27,4,4,8,15,4,20,30,25,17,10,20,25,26,8,15,5,9,22,5,9,14,22
20190220,000042.SZ,0.005260933901632645,7,30,28,4,4,8,9,27,9,4,8,15,23,20,12,24,25,8,20,7,14,4,5,5,1,22,5,30,14,3
