code,date,buy_at,max,max_idx,idx,is_selled,sell_at,sell_date,r,open,close,f1_open,f1_close,f2_open,f2_close,f3_open,f3_close,r2,is_cut,r3,is_cut2
300601.SZ,2018-8-2,72.88047,73.31634,367,366,TRUE,58.12101,2018-8-7,-20.25%,65.60595,72.144,72.88047,69.15303,64.794334,62.23923,58.12101,62.058872,-20.25%,1,-11.10%,1
300709.SZ,2020-3-10,118.100395,119.1124,582,581,TRUE,102.30307,2020-3-13,-13.38%,108.30423,116.450836,118.100395,113.46544,110.36871,110.66219,102.30307,109.751396,-13.38%,1,-6.55%,1
600009.SH,2018-10-22,166.90044,169.79675,2135,2134,TRUE,150.84999,2018-10-25,-9.62%,159.87083,168.3486,166.90044,165.33159,163.5214,156.5823,150.84999,153.08258,-9.62%,1,-2.02%,0
603883.SH,2019-11-28,75.978325,76.381584,1031,1030,TRUE,68.761,2019-12-3,-9.50%,72.897,75.482,75.978325,70.7256,70.312004,69.44344,68.761,68.9678,-9.50%,1,-7.46%,1
000025.SZ,2016-3-2,135.576,137.38368,1470,1469,TRUE,123.3365,2016-3-7,-9.03%,122.5833,134.55917,135.576,130.26595,126.97069,122.31968,123.3365,125.61493,-9.03%,1,-6.35%,1
300666.SZ,2018-6-20,56.166115,58.6586,243,242,TRUE,51.351303,2018-6-25,-8.57%,56.1561,60.530476,56.166115,54.474422,53.073025,50.910862,51.351303,50.870823,-8.57%,1,-5.51%,1
300033.SZ,2019-5-10,746.4089,759.01013,2252,2250,TRUE,686.1645,2019-5-20,-8.07%,705.5842,746.4089,746.4089,725.86707,723.2778,734.75696,752.019,745.2005,0.75%,0,-3.10%,0
002008.SZ,2018-6-29,678.2135,678.2135,2038,2037,TRUE,623.67224,2018-7-4,-8.04%,648.40607,674.6619,678.2135,645.4888,643.0788,627.4775,623.67224,599.9532,-8.04%,1,-5.18%,1
000025.SZ,2016-2-16,150.65883,152.8996,1459,1458,TRUE,139.6433,2016-2-19,-7.31%,132.7515,142.90086,150.65883,142.26065,139.62445,140.77309,139.6433,139.11604,-7.31%,1,-7.32%,1
000568.SZ,2018-10-12,1387.2843,1400.9506,2094,2093,TRUE,1287.171,2018-10-19,-7.22%,1307.8293,1387.2843,1387.2843,1336.4331,1338.34,1344.0608,1366.3082,1334.2084,-1.51%,1,-3.53%,1
000596.SZ,2018-10-19,245.88396,255.4335,2127,2126,TRUE,228.3542,2018-10-24,-7.13%,230.32423,242.81209,245.88396,254.29825,252.32823,233.96373,228.3542,220.374,-7.13%,1,2.62%,0
300359.SZ,2016-2-16,229.90933,236.5935,400,398,TRUE,214.12538,2016-2-26,-6.87%,219.3867,231.6631,229.90933,230.2733,234.60811,229.04898,227.52686,230.96822,-1.04%,0,2.04%,0
002739.SZ,2016-1-8,209.02905,219.32495,190,189,TRUE,194.679,2016-1-14,-6.87%,193.69557,212.84235,209.02905,202.707,204.71399,208.70792,208.728,201.06126,-0.14%,0,-2.06%,1
300601.SZ,2018-8-13,68.672066,72.88047,376,373,TRUE,64.11798,2018-8-20,-6.63%,62.494743,67.92057,68.672066,68.311356,67.90554,68.49171,67.4847,70.12998,-1.73%,0,-1.12%,0
603589.SH,2018-7-31,59.512497,60.03,756,755,TRUE,55.5795,2018-8-3,-6.61%,56.510998,58.92255,59.512497,57.680546,57.721947,56.5938,55.5795,53.23005,-6.61%,1,-3.01%,1
600009.SH,2018-8-21,174.97847,175.61957,2098,2096,TRUE,163.5214,2018-8-30,-6.55%,162.7915,174.88884,174.97847,174.47067,174.8955,171.33543,169.76659,172.15002,-2.98%,1,-0.05%,0
603259.SH,2020-3-24,134.1368,139.05421,461,458,TRUE,125.401,2020-3-30,-6.51%,126.2464,129.41666,134.1368,136.15167,135.8276,136.75754,138.50471,131.4597,3.26%,0,1.26%,0
000963.SZ,2016-1-14,236.24121,238.06848,1418,1417,TRUE,221.10089,2016-1-27,-6.41%,224.49442,236.27385,236.24121,232.554,231.673,232.29298,230.17203,236.24121,-2.57%,0,-1.93%,0
603986.SH,2018-6-5,312.32584,316.85638,236,235,TRUE,292.3183,2018-6-11,-6.41%,299.97238,314.26752,312.32584,312.63538,316.0122,304.8406,301.098,294.6258,-3.59%,1,1.18%,0
300017.SZ,2016-1-14,427.34998,438.9,1430,1428,TRUE,400.477,2016-1-22,-6.29%,392.69998,436.051,427.34998,419.573,411.87302,427.34998,425.81,433.664,-0.36%,0,-3.62%,0
600600.SH,2019-6-11,80.33136,80.513626,2286,2285,TRUE,75.294075,2019-6-18,-6.27%,77.01736,80.87817,80.33136,79.23774,79.23774,78.574936,78.77378,78.210396,-1.94%,1,-1.36%,0
600585.SH,2018-10-12,155.4414,155.79266,2121,2120,TRUE,145.78119,2018-10-19,-6.21%,148.54753,155.22183,155.4414,150.61128,151.22603,148.24014,150.1722,150.12828,-3.39%,1,-2.71%,1
601336.SH,2019-5-10,54.945023,55.55634,1771,1768,TRUE,51.646,2019-5-20,-6.00%,53.6486,56.114964,54.945023,53.94372,53.53266,53.60644,54.0702,55.1769,-1.59%,1,-2.57%,0
600332.SH,2019-1-15,52.661797,54.677067,2011,2007,TRUE,49.646248,2019-2-1,-5.73%,50.35233,53.14723,52.661797,53.191357,53.103096,52.632378,52.970707,54.00041,0.59%,0,0.84%,0
300359.SZ,2016-5-3,231.53073,244.866,454,451,TRUE,218.4271,2016-5-10,-5.66%,224.01929,233.2845,231.53073,231.06747,231.23291,239.9025,240.2334,232.2918,3.76%,0,-0.13%,0
600009.SH,2018-10-19,159.87083,172.93443,2134,2133,TRUE,150.84999,2018-10-25,-5.64%,148.4364,159.23726,159.87083,168.3486,166.90044,165.33159,163.5214,156.5823,2.28%,0,4.40%,0
002594.SZ,2018-1-22,67.439674,68.27964,1589,1586,TRUE,63.63456,2018-1-30,-5.64%,64.44416,67.39919,67.439674,67.61172,67.8546,67.30812,67.31824,66.42767,-0.18%,0,0.62%,0
002912.SZ,2019-4-16,168.94499,170.50572,341,340,TRUE,159.59671,2019-4-24,-5.53%,157.21538,166.03271,168.94499,167.22337,169.23462,164.31108,163.1365,162.3642,-3.44%,1,0.17%,0
002594.SZ,2020-3-31,61.098,61.8732,2117,2116,TRUE,57.721798,2020-4-3,-5.53%,57.8952,61.1694,61.098,58.262398,57.834,57.721798,57.721798,56.1,-5.53%,1,-5.34%,1
603799.SH,2018-6-29,98.276146,98.276146,809,808,TRUE,92.853806,2018-7-5,-5.52%,93.83968,98.054825,98.276146,96.89793,96.455284,96.3245,95.489525,92.36086,-2.84%,0,-1.85%,0
000858.SZ,2018-11-2,896.5365,900.6225,2083,2082,TRUE,848.526,2018-11-12,-5.36%,881.55444,914.0722,896.5365,881.0437,880.70325,864.87,866.74274,859.76245,-3.32%,1,-1.77%,0
300601.SZ,2018-8-7,60.856472,61.472702,370,369,TRUE,57.760292,2018-8-10,-5.09%,58.12101,62.058872,60.856472,55.851482,54.5589,57.21921,57.760292,62.945644,-5.09%,1,-10.35%,1
603019.SH,2018-10-19,89.28864,92.8368,951,950,TRUE,84.75264,2018-10-26,-5.08%,81.3456,86.688,89.28864,90.9216,91.44576,88.76448,88.52256,88.38144,-0.86%,0,2.42%,0
002668.SZ,2016-12-16,79.263275,80.30459,1056,1055,TRUE,75.263,2016-12-26,-5.05%,74.12891,79.283905,79.263275,79.5932,79.387,78.00546,78.448784,78.118866,-1.03%,0,0.16%,0
002095.SZ,2016-1-6,298.112,298.94495,1456,1455,TRUE,283.2064,2016-1-12,-5.00%,270.93118,298.02432,298.112,269.13376,284.91614,288.4672,276.192,277.0688,-7.35%,1,-4.43%,1
002095.SZ,2016-1-18,321.3472,330.99197,1465,1463,TRUE,305.30176,2016-1-22,-4.99%,279.9184,308.89664,321.3472,317.18237,308.01984,319.5936,312.5792,298.112,-2.73%,0,-4.15%,0
300347.SZ,2018-10-19,363.7602,385.1192,1362,1361,TRUE,345.76935,2018-10-25,-4.95%,320.385,355.2166,363.7602,379.3687,380.3545,373.7825,372.87885,355.79166,2.51%,0,4.56%,0
603019.SH,2019-1-4,73.584,76.91041,1006,1003,TRUE,69.97536,2019-1-15,-4.90%,69.9552,73.54368,73.584,75.72096,75.33792,74.45088,75.096,75.27744,2.05%,0,2.38%,0
600763.SH,2018-10-22,119.228546,123.406494,1976,1975,TRUE,113.505,2018-10-25,-4.80%,112.538994,119.228546,119.228546,118.335,118.2867,116.692795,113.505,113.04615,-4.80%,1,-0.79%,0
000938.SZ,2016-2-16,176.54001,186.2497,1308,1306,TRUE,168.41916,2016-2-25,-4.60%,169.8567,178.70892,176.54001,178.48193,184.05557,178.40628,177.70012,176.54001,0.66%,0,4.26%,0
600570.SH,2018-8-13,738.3331,742.77576,2027,2026,TRUE,705.0852,2018-8-20,-4.50%,704.08203,742.77576,738.3331,730.4511,730.4511,712.39404,707.09155,713.82715,-4.23%,1,-1.07%,0
