code,date,sell_at,sell_at0,sell_date,sell_idx,buy_at,buy_at0,max,max_idx,idx,is_selled,r
002714.SZ,2020-05-29,,,,,,,,,1517,False,
603883.SH,2020-05-18,,,,,83.278366,80.54,87.45573,1150.0,1141,False,
603068.SH,2020-05-06,78.56681823730469,78.41000366210938,2020-05-21,267.0,76.642975,76.49,81.452576,258.0,256,True,0.02510136626958981
300598.SZ,2020-05-06,269.3902282714844,268.04998779296875,2020-05-22,804.0,247.03905,245.81,312.555,802.0,792,True,0.09047630842119281
300598.SZ,2020-04-30,269.3902282714844,268.04998779296875,2020-05-22,804.0,226.4265,225.3,312.555,802.0,791,True,0.1897469163702592
300223.SZ,2020-04-30,258.4259948730469,98.0,2020-05-25,1937.0,243.15778,92.21,291.4149,1934.0,1923,True,0.06279140750877854
603160.SH,2020-04-28,229.8419952392578,226.0,2020-05-19,874.0,230.36066,226.51,255.76532,868.0,862,True,-0.002251519449402828
300598.SZ,2020-04-20,248.72744750976562,247.49000549316406,2020-04-24,787.0,255.77249,254.5,275.25946,784.0,783,True,-0.02754418157024452
300598.SZ,2020-04-15,241.1999969482422,240.0,2020-04-20,783.0,246.71745,245.49,259.74225,782.0,780,True,-0.02236346066130146
300454.SZ,2020-04-14,184.3579864501953,183.99000549316406,2020-05-18,487.0,166.59251,166.26,198.78677,478.0,466,True,0.10664028041528861
603501.SH,2020-04-14,174.69598388671875,174.0,2020-04-24,555.0,162.27652,161.63,184.14363,550.0,547,True,0.0765327240719611
603659.SH,2020-04-14,80.27399444580078,78.69999694824219,2020-05-26,565.0,70.1688,69.2,89.913,562.0,538,True,0.14401263867724445
603259.SH,2020-04-09,145.15518188476562,103.0199966430664,2020-05-29,502.0,143.52075,101.86,158.5125,494.0,469,True,0.011388108753599857
300725.SZ,2020-04-09,162.5139923095703,83.0,2020-04-14,584.0,157.63858,80.51,161.26088,582.0,581,True,0.030927784158787386
300770.SZ,2020-04-07,157.5,157.5,2020-04-21,244.0,161.6,161.6,173.0,243.0,234,True,-0.025371323939736068
300347.SZ,2020-04-07,,,,,875.2483,70.75,1066.3625,1752.0,1717,False,
