code,date,sell_at,sell_at0,sell_date,sell_idx,buy_at,buy_at0,max,max_idx,idx,is_selled,r
603259.SH,2020-01-02,122.5125503540039,86.94999694824219,2020-01-07 00:00:00,3.0,129.13486,91.65,129.67027,1.0,0,True,-0.05128210127352273
603259.SH,2020-01-03,136.13758850097656,96.62000274658203,2020-03-13 00:00:00,45.0,124.07654,88.06,168.0937,40.0,1,True,0.09720653558761749
603259.SH,2020-01-06,136.13758850097656,96.62000274658203,2020-03-13 00:00:00,45.0,122.51255,86.95,168.0937,40.0,2,True,0.11121340717830686
603259.SH,2020-01-07,136.13758850097656,96.62000274658203,2020-03-13 00:00:00,45.0,123.14661,87.4,168.0937,40.0,3,True,0.10549200201820552
603259.SH,2020-01-08,129.6843719482422,92.04000091552734,2020-02-04 00:00:00,17.0,125.38691,88.99,140.81546,13.0,4,True,0.034273613418135174
603259.SH,2020-01-09,129.6843719482422,92.04000091552734,2020-02-04 00:00:00,17.0,128.89532,91.48,140.81546,13.0,5,True,0.006121612579853997
603259.SH,2020-01-10,129.6843719482422,92.04000091552734,2020-02-04 00:00:00,17.0,129.57164,91.96,140.81546,13.0,6,True,0.0008700355539299487
603259.SH,2020-01-13,129.6843719482422,92.04000091552734,2020-02-04 00:00:00,17.0,132.16422,93.8,140.81546,13.0,7,True,-0.01876334783965017
603259.SH,2020-01-14,129.6843719482422,92.04000091552734,2020-02-04 00:00:00,17.0,130.02252,92.28,140.81546,13.0,8,True,-0.002600703472627419
603259.SH,2020-01-15,129.6843719482422,92.04000091552734,2020-02-04 00:00:00,17.0,133.57321,94.8,140.81546,13.0,9,True,-0.029113919423376267
603259.SH,2020-01-16,129.6843719482422,92.04000091552734,2020-02-04 00:00:00,17.0,138.06792,97.99,140.81546,13.0,10,True,-0.060720441880509735
603259.SH,2020-01-17,129.6843719482422,92.04000091552734,2020-02-04 00:00:00,17.0,137.41977,97.53,140.81546,13.0,11,True,-0.05629028035046191
603259.SH,2020-01-20,129.6843719482422,92.04000091552734,2020-02-04 00:00:00,17.0,138.9415,98.61,140.81546,13.0,12,True,-0.06662606925135661
603259.SH,2020-01-21,129.6843719482422,92.04000091552734,2020-02-04 00:00:00,17.0,138.3779,98.21,140.71684,15.0,13,True,-0.06282453537616162
603259.SH,2020-01-22,129.6843719482422,92.04000091552734,2020-02-04 00:00:00,17.0,139.13875,98.75,140.71684,15.0,14,True,-0.06794926895003695
603259.SH,2020-01-23,136.13758850097656,96.62000274658203,2020-03-13 00:00:00,45.0,122.56891,86.99,168.0937,40.0,15,True,0.11070246079886692
603259.SH,2020-02-03,151.46749877929688,107.5,2020-03-02 00:00:00,36.0,129.68437,92.04,167.45966,32.0,16,True,0.16797033060967803
603259.SH,2020-02-04,151.46749877929688,107.5,2020-03-02 00:00:00,36.0,135.05266,95.85,167.45966,32.0,17,True,0.12154400314276281
603259.SH,2020-02-05,151.46749877929688,107.5,2020-03-02 00:00:00,36.0,138.082,98.0,167.45966,32.0,18,True,0.09693876085134145
603259.SH,2020-02-06,151.46749877929688,107.5,2020-03-02 00:00:00,36.0,146.53601,104.0,167.45966,32.0,19,True,0.03365376204887771
603259.SH,2020-02-07,151.46749877929688,107.5,2020-03-02 00:00:00,36.0,143.12622,101.58,167.45966,32.0,20,True,0.05827917508891334
603259.SH,2020-02-10,151.46749877929688,107.5,2020-03-02 00:00:00,36.0,148.9313,105.7,167.45966,32.0,21,True,0.017029286413762224
603259.SH,2020-02-11,151.46749877929688,107.5,2020-03-02 00:00:00,36.0,149.08629,105.81,167.45966,32.0,22,True,0.015972027688600843
603259.SH,2020-02-12,148.71995544433594,105.55000305175781,2020-02-28 00:00:00,35.0,152.82014,108.46,167.45966,32.0,23,True,-0.026830161810707964
603259.SH,2020-02-13,148.71995544433594,105.55000305175781,2020-02-28 00:00:00,35.0,153.1583,108.7,167.45966,32.0,24,True,-0.02897877155616868
603259.SH,2020-02-14,155.80722045898438,110.58000183105469,2020-02-27 00:00:00,34.0,154.24324,109.47,167.45966,32.0,25,True,0.01013969947029647
603259.SH,2020-02-17,155.80722045898438,110.58000183105469,2020-02-27 00:00:00,34.0,161.80956,114.84,167.45966,32.0,26,True,-0.03709505654801504
603259.SH,2020-02-18,155.80722045898438,110.58000183105469,2020-02-27 00:00:00,34.0,159.372,113.11,167.45966,32.0,27,True,-0.02236762852546914
603259.SH,2020-02-19,155.80722045898438,110.58000183105469,2020-02-27 00:00:00,34.0,155.66634,110.48,167.45966,32.0,28,True,0.0009050408905375562
603259.SH,2020-02-20,155.80722045898438,110.58000183105469,2020-02-27 00:00:00,34.0,155.03227,110.03,167.45966,32.0,29,True,0.004998624534273244
603259.SH,2020-02-21,155.80722045898438,110.58000183105469,2020-02-27 00:00:00,34.0,158.58296,112.55,167.45966,32.0,30,True,-0.01750340352777613
603259.SH,2020-02-24,155.80722045898438,110.58000183105469,2020-02-27 00:00:00,34.0,156.72308,111.23,167.45966,32.0,31,True,-0.0058438298729120985
603259.SH,2020-02-25,148.71995544433594,105.55000305175781,2020-02-28 00:00:00,35.0,163.444,116.0,163.69763,33.0,32,True,-0.09008617494561433
603259.SH,2020-02-26,151.46749877929688,107.5,2020-03-02 00:00:00,36.0,155.80722,110.58,158.85066,34.0,33,True,-0.02785314869813693
603259.SH,2020-02-27,149.18492126464844,105.87999725341797,2020-03-12 00:00:00,44.0,148.71996,105.55,168.0937,40.0,34,True,0.0031264521222005293
603259.SH,2020-02-28,149.18492126464844,105.87999725341797,2020-03-12 00:00:00,44.0,151.4675,107.5,168.0937,40.0,35,True,-0.015069751154829447
603259.SH,2020-03-02,149.18492126464844,105.87999725341797,2020-03-12 00:00:00,44.0,157.93481,112.09,168.0937,40.0,36,True,-0.05540192780657316
603259.SH,2020-03-03,157.8220977783203,112.01000213623047,2020-03-10 00:00:00,42.0,161.72502,114.78,168.0937,40.0,37,True,-0.024133084362010004
603259.SH,2020-03-04,157.8220977783203,112.01000213623047,2020-03-10 00:00:00,42.0,166.24791,117.99,168.0937,40.0,38,True,-0.05068221182806443
603259.SH,2020-03-05,157.8220977783203,112.01000213623047,2020-03-10 00:00:00,42.0,161.92229,114.92,168.0937,40.0,39,True,-0.025321957126913874
603259.SH,2020-03-06,149.18492126464844,105.87999725341797,2020-03-12 00:00:00,44.0,160.7669,114.1,162.8804,41.0,40,True,-0.07204209938857364
603259.SH,2020-03-09,149.18492126464844,105.87999725341797,2020-03-12 00:00:00,44.0,157.8221,112.01,159.4988,42.0,41,True,-0.054727295069945225
603259.SH,2020-03-10,136.13758850097656,96.62000274658203,2020-03-13 00:00:00,45.0,157.03305,111.45,159.3579,43.0,42,True,-0.13306410315957584
603259.SH,2020-03-11,141.18179321289062,100.19999694824219,2020-03-16 00:00:00,46.0,149.18492,105.88,149.97397,44.0,43,True,-0.05364569008660447
603259.SH,2020-03-12,131.03700256347656,93.0,2020-03-17 00:00:00,47.0,136.13759,96.62,143.12622,45.0,44,True,-0.03746640434624282
603259.SH,2020-03-13,131.45970153808594,93.30000305175781,2020-03-18 00:00:00,48.0,141.1818,100.2,141.20999,46.0,45,True,-0.06886221979164531
603259.SH,2020-03-16,127.5145034790039,90.5,2020-03-20 00:00:00,50.0,131.037,93.0,135.24991,48.0,46,True,-0.026881712917435685
603259.SH,2020-03-17,127.5145034790039,90.5,2020-03-20 00:00:00,50.0,131.4597,93.3,135.24991,48.0,47,True,-0.030010702998127914
603259.SH,2020-03-18,126.24639892578125,89.5999984741211,2020-03-24 00:00:00,52.0,127.97948,90.83,131.24835,50.0,48,True,-0.013541843149547095
603259.SH,2020-03-19,126.24639892578125,89.5999984741211,2020-03-24 00:00:00,52.0,127.5145,90.5,131.24835,50.0,49,True,-0.009944786817379203
603259.SH,2020-03-20,125.11920928955078,88.80000305175781,2020-03-31 00:00:00,57.0,124.6965,88.5,139.05421,55.0,50,True,0.0033898833960874786
603259.SH,2020-03-23,125.11920928955078,88.80000305175781,2020-03-31 00:00:00,57.0,126.2464,89.6,139.05421,55.0,51,True,-0.008928489412938667
603259.SH,2020-03-24,125.11920928955078,88.80000305175781,2020-03-31 00:00:00,57.0,134.1368,95.2,139.05421,55.0,52,True,-0.06722678703811458
603259.SH,2020-03-25,125.11920928955078,88.80000305175781,2020-03-31 00:00:00,57.0,135.8276,96.4,139.05421,55.0,53,True,-0.07883814793703336
603259.SH,2020-03-26,125.11920928955078,88.80000305175781,2020-03-31 00:00:00,57.0,138.50471,98.3,139.05421,55.0,54,True,-0.09664296034667674
603259.SH,2020-03-27,,,,,125.401,89.0,158.5125,88.0,55,True,
603259.SH,2020-03-30,,,,,125.11921,88.8,158.5125,88.0,56,True,
603259.SH,2020-03-31,,,,,127.47224,90.47,158.5125,88.0,57,True,
603259.SH,2020-04-01,,,,,128.21901,91.0,158.5125,88.0,58,True,
603259.SH,2020-04-02,,,,,132.26283,93.87,158.5125,88.0,59,True,
